               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0871,            0.022606,                   0,             0.54084,             0.41097,             0.39536,             0.16505,            0.056378,           0.0086432,                   0,              0.0701,           0.0033222,           0.0033222
                   1,            0.061987,            0.017665,                   0,             0.84324,             0.62225,             0.70834,             0.25548,            0.048537,           0.0068261,                   0,            0.039969,           0.0065237,           0.0065237
                   2,            0.057895,            0.016069,                   0,             0.79279,             0.60027,             0.65587,             0.24243,            0.050533,           0.0066128,                   0,           0.0097048,           0.0095933,           0.0095933
                   3,            0.053954,            0.015893,                   0,             0.71896,             0.64011,             0.69839,             0.30234,            0.047008,           0.0069979,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.051142,            0.015094,                   0,             0.90372,             0.76511,             0.81816,             0.40147,             0.04103,           0.0061517,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.049012,            0.014493,                   0,             0.89788,             0.75137,             0.79075,             0.35922,            0.040875,           0.0062224,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.047452,            0.014423,                   0,             0.89176,             0.73901,              0.8173,             0.38813,            0.041251,           0.0062764,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.04594,            0.013922,                   0,             0.93098,              0.8022,             0.86426,             0.47408,            0.034866,           0.0058456,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.045655,            0.013973,                   0,             0.86669,             0.81731,             0.87179,              0.4949,            0.034427,           0.0055081,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.044597,            0.013468,                   0,             0.96401,             0.83242,             0.88076,             0.51938,            0.034109,             0.00546,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043666,            0.013445,                   0,             0.93131,             0.83807,             0.88987,             0.54922,            0.032449,           0.0052811,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.043197,            0.013152,                   0,             0.96294,             0.84341,             0.89111,             0.53244,              0.0325,             0.00553,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.042323,            0.013082,                   0,             0.91447,             0.81868,             0.86407,              0.5116,            0.034185,           0.0055217,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04175,            0.012811,                   0,             0.94668,             0.83791,             0.88396,             0.54954,            0.032311,           0.0054175,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.041438,            0.012629,                   0,             0.94304,             0.81873,             0.86733,             0.53773,            0.033144,           0.0056784,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.041039,            0.012386,                   0,             0.96718,             0.85009,             0.90476,             0.54394,            0.031809,           0.0052286,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.040215,            0.012407,                   0,             0.97286,             0.83701,             0.89357,             0.56086,            0.029916,           0.0050705,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.039954,            0.012403,                   0,             0.97438,             0.86126,             0.91213,             0.57388,            0.030054,            0.005022,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03957,            0.012453,                   0,             0.97898,             0.85165,             0.90609,             0.57585,            0.030231,           0.0049782,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039106,            0.012282,                   0,             0.95623,             0.84029,             0.89309,             0.54973,             0.03122,           0.0053683,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.038754,            0.011977,                   0,             0.97332,             0.85178,             0.90708,             0.58098,            0.030117,           0.0049807,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.038038,            0.012046,                   0,             0.97699,             0.86264,             0.91776,             0.58359,              0.0296,           0.0047163,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.037869,            0.011967,                   0,             0.97161,             0.85577,             0.91414,              0.5845,            0.030129,           0.0049638,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.037377,            0.012075,                   0,              0.9838,             0.87088,             0.92503,              0.5778,            0.029986,            0.004989,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.036882,            0.011623,                   0,              0.9691,             0.86156,             0.91624,             0.58704,            0.028996,           0.0048551,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.037256,            0.011759,                   0,             0.96739,             0.87088,             0.91904,             0.60894,            0.029437,           0.0048021,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.03639,            0.011594,                   0,             0.97351,             0.86264,             0.90472,             0.59274,            0.030155,           0.0048957,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.036311,            0.011514,                   0,              0.9781,             0.85884,             0.92035,             0.60355,            0.028985,           0.0048471,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.035944,            0.011473,                   0,             0.98935,             0.85165,             0.91245,             0.59995,            0.028909,           0.0048644,                   0,            0.004654,            0.004654,            0.004654
