               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10169,            0.028173,                   0,             0.13696,              0.2483,             0.10322,            0.028001,            0.070605,            0.014856,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.065086,            0.024412,                   0,             0.39143,             0.55442,             0.35533,              0.1271,            0.052632,             0.01495,                   0,            0.040638,           0.0065474,           0.0065474
                   2,            0.057895,             0.02097,                   0,             0.40713,             0.64626,             0.44656,             0.17091,            0.047749,            0.010201,                   0,            0.010551,           0.0097932,           0.0097932
                   3,            0.052202,            0.018318,                   0,             0.68837,             0.81144,             0.80684,              0.2985,            0.045646,           0.0078508,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.045333,            0.015267,                   0,             0.76223,              0.7517,              0.7635,             0.42244,             0.03639,           0.0070206,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.041105,            0.014252,                   0,             0.95977,             0.89268,             0.94077,              0.5416,            0.030509,           0.0059338,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.038096,            0.012024,                   0,             0.85478,             0.87075,             0.85564,             0.42027,            0.035466,           0.0058026,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.035546,            0.011605,                   0,             0.98891,             0.90971,              0.9662,             0.65825,            0.025114,           0.0052745,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.034042,            0.010998,                   0,             0.93891,             0.92517,             0.94498,             0.62714,            0.029257,           0.0055161,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.033621,            0.010423,                   0,             0.99155,             0.92517,             0.95445,             0.62936,            0.024752,           0.0051728,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.032056,            0.010122,                   0,             0.98502,             0.94218,             0.95743,              0.6751,            0.023539,           0.0050364,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.030358,           0.0097478,                   0,             0.97671,             0.93537,             0.95518,             0.65601,            0.023537,           0.0050488,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.030068,           0.0099779,                   0,              0.9929,             0.95082,             0.96685,             0.68682,            0.022052,           0.0047207,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.029259,           0.0094168,                   0,             0.99009,             0.93537,             0.96159,             0.65551,             0.02401,            0.004656,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.028388,           0.0092332,                   0,             0.91768,             0.92177,             0.95395,              0.6593,             0.02432,           0.0047158,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.028652,            0.009014,                   0,             0.98238,             0.94835,              0.9591,              0.6979,            0.020872,           0.0046414,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.027798,           0.0086218,                   0,             0.97353,             0.95238,             0.96984,             0.70682,            0.020396,           0.0046762,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.027364,           0.0093912,                   0,             0.98174,             0.93537,             0.96958,             0.68862,            0.021811,           0.0044908,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.026433,           0.0090959,                   0,             0.98588,             0.94975,             0.97402,             0.76064,            0.018234,           0.0043036,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.025854,           0.0089577,                   0,             0.99225,             0.94898,             0.96992,              0.7209,            0.020237,           0.0043619,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.024813,           0.0085778,                   0,             0.99642,             0.94717,             0.97356,             0.76144,            0.016971,           0.0042406,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.025394,           0.0084475,                   0,             0.99416,             0.95578,             0.97259,             0.78206,              0.0174,           0.0042358,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.024488,           0.0081618,                   0,             0.98565,             0.94898,             0.97345,             0.77055,            0.017447,           0.0042647,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.024344,            0.008187,                   0,             0.99229,             0.95238,             0.97441,             0.79569,            0.016822,           0.0042231,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.023389,           0.0080778,                   0,             0.99249,             0.95238,             0.97343,              0.7484,            0.018124,           0.0040128,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.024467,           0.0079976,                   0,             0.98945,             0.95713,             0.97099,             0.73936,            0.017841,           0.0042573,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.023812,            0.008351,                   0,             0.99641,             0.94382,             0.97421,             0.76421,            0.017151,           0.0042437,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.022685,            0.008462,                   0,             0.99645,             0.95525,             0.97541,             0.76805,            0.016325,           0.0040306,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.022762,            0.007747,                   0,             0.99644,             0.95156,             0.97061,             0.79607,            0.015493,           0.0042075,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.021706,           0.0080829,                   0,                   1,             0.94162,             0.97421,             0.77212,            0.016466,            0.004085,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.021947,           0.0076496,                   0,             0.98576,             0.94196,             0.96824,             0.78159,            0.017333,           0.0042106,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.022141,           0.0080235,                   0,             0.99738,             0.94558,             0.97447,             0.79603,            0.016721,           0.0039432,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.020975,           0.0073244,                   0,                   1,             0.94887,             0.97535,             0.79994,            0.016984,           0.0040336,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.020913,           0.0075102,                   0,             0.98611,             0.96563,             0.97753,             0.80134,            0.016061,           0.0038707,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.021657,           0.0074219,                   0,             0.99177,             0.95238,             0.97192,             0.79499,            0.016041,           0.0038061,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.021873,           0.0075801,                   0,             0.99642,             0.94627,             0.97567,             0.81736,            0.015254,           0.0040278,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.020147,           0.0073883,                   0,             0.99645,             0.95575,             0.97348,             0.80481,            0.015083,           0.0038771,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.020498,           0.0073018,                   0,             0.98595,             0.95489,             0.97623,              0.8277,            0.014813,           0.0038212,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.020364,           0.0074503,                   0,             0.99597,             0.95578,             0.97295,             0.80327,            0.015104,           0.0038213,                   0,            0.007558,            0.007558,            0.007558
                  39,             0.01978,           0.0069745,                   0,              0.9929,             0.95186,             0.97512,             0.80399,            0.015838,           0.0037225,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.020954,           0.0073581,                   0,             0.99214,             0.94898,             0.96728,             0.82367,             0.01453,           0.0037867,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.019472,           0.0072935,                   0,              0.9951,             0.95238,             0.97714,             0.82552,             0.01463,           0.0037911,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.019887,           0.0071435,                   0,             0.99284,             0.94338,             0.97195,             0.81938,            0.014637,           0.0039107,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.019412,           0.0071901,                   0,              0.9889,             0.95238,             0.97008,             0.84231,            0.013808,           0.0038313,                   0,            0.007228,            0.007228,            0.007228
                  44,             0.01849,           0.0071545,                   0,             0.99604,             0.95238,             0.97611,             0.83086,            0.013485,           0.0036311,                   0,            0.007162,            0.007162,            0.007162
