               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089602,            0.039359,                   0,             0.57283,             0.48814,             0.52487,             0.22247,            0.060988,             0.01427,                   0,            0.070291,            0.003301,            0.003301
                   1,            0.057789,            0.029762,                   0,              0.8274,             0.77998,             0.83671,             0.44573,            0.041622,           0.0076571,                   0,            0.040127,           0.0064701,           0.0064701
                   2,            0.050604,            0.026139,                   0,             0.64998,             0.85085,               0.768,             0.26525,            0.043077,           0.0065166,                   0,           0.0097979,           0.0094742,           0.0094742
                   3,            0.043407,             0.02279,                   0,             0.96084,             0.91498,             0.94403,             0.63004,            0.029925,           0.0054455,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.038007,            0.020758,                   0,             0.95445,             0.91186,             0.94437,             0.58983,            0.029019,           0.0056022,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.035005,             0.02031,                   0,             0.98443,             0.91864,             0.95892,             0.66996,            0.025186,           0.0051997,                   0,             0.00901,             0.00901,             0.00901
                   6,             0.03262,            0.019108,                   0,             0.99628,             0.90801,             0.94893,              0.6851,            0.025933,           0.0054001,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.031181,             0.01878,                   0,             0.99036,              0.9322,             0.96226,             0.73686,            0.022718,           0.0047965,                   0,            0.008515,            0.008515,            0.008515
                   8,             0.02956,              0.0183,                   0,             0.99633,             0.92045,             0.96417,             0.72197,            0.024213,           0.0050449,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.028511,            0.018112,                   0,             0.98566,             0.93173,             0.95827,             0.73173,            0.023182,           0.0047959,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.028054,            0.017437,                   0,             0.98654,             0.93898,             0.96941,             0.73936,            0.021864,           0.0045932,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.026908,            0.017556,                   0,                   1,             0.92232,             0.97284,              0.7868,            0.019996,           0.0043657,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.026722,            0.016207,                   0,             0.99287,              0.9442,             0.96567,             0.77502,             0.02037,           0.0042496,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.025427,            0.016921,                   0,             0.99243,             0.95254,             0.96535,             0.78791,            0.020234,           0.0043105,                   0,             0.00703,             0.00703,             0.00703
                  14,             0.02389,            0.015978,                   0,             0.98929,             0.93934,             0.97482,             0.81588,            0.017508,           0.0042253,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.023822,            0.016298,                   0,             0.98945,             0.95377,             0.97386,             0.82141,            0.018122,           0.0041474,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.023286,            0.015666,                   0,              0.9956,             0.94915,              0.9727,             0.79189,            0.018352,           0.0040819,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,             0.02256,            0.015686,                   0,             0.99232,             0.94576,             0.96883,             0.81592,            0.018148,           0.0041499,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.021455,            0.015319,                   0,             0.97709,             0.94915,             0.97106,             0.81678,            0.017548,           0.0041423,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.021906,            0.015121,                   0,             0.98866,             0.95932,             0.97423,             0.83736,            0.019076,           0.0039526,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.021572,            0.015004,                   0,              0.9894,              0.9495,             0.97179,             0.82249,            0.016915,           0.0040017,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.020865,            0.014669,                   0,             0.98938,             0.94779,               0.974,             0.84174,             0.01723,           0.0039168,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.020036,            0.014497,                   0,             0.99645,             0.95214,              0.9757,             0.83715,            0.016947,           0.0036129,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.019594,            0.014507,                   0,             0.99475,             0.94915,             0.97382,             0.83568,            0.016211,           0.0037771,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.019215,            0.013857,                   0,             0.97782,             0.95593,             0.97658,             0.86347,             0.01474,           0.0036195,                   0,           0.0043075,           0.0043075,           0.0043075
