               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070719,            0.020449,                   0,             0.58095,             0.54978,              0.5626,             0.24643,            0.042803,           0.0074873,                   0,            0.070054,           0.0033273,           0.0033273
                   1,            0.049177,            0.016748,                   0,             0.67034,             0.65029,             0.68903,             0.36885,            0.037719,           0.0072512,                   0,            0.039972,           0.0065782,           0.0065782
                   2,            0.046583,            0.015971,                   0,             0.63932,             0.55505,             0.63371,             0.33344,            0.040439,           0.0075499,                   0,           0.0098067,           0.0097466,           0.0097466
                   3,            0.045691,            0.016268,                   0,             0.72376,               0.664,             0.73606,             0.41931,            0.035308,           0.0067857,                   0,           0.0096288,           0.0096288,           0.0096288
                   4,              0.0429,            0.015522,                   0,             0.81733,             0.73122,              0.8108,             0.45458,            0.033518,           0.0062968,                   0,           0.0096288,           0.0096288,           0.0096288
                   5,            0.040789,            0.014997,                   0,             0.80409,             0.77143,             0.84263,             0.48933,            0.032891,           0.0060693,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.039881,            0.014405,                   0,             0.78807,             0.75221,             0.83804,             0.49059,             0.03045,           0.0059633,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.038892,            0.014227,                   0,             0.82768,             0.78496,              0.8563,             0.51955,            0.029188,           0.0058698,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.037627,            0.014025,                   0,             0.81233,             0.76457,             0.85395,             0.51832,            0.029491,           0.0057634,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.037193,            0.013876,                   0,             0.81344,             0.79657,             0.87149,             0.54092,            0.028439,           0.0056954,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.036144,            0.013619,                   0,             0.85032,             0.82514,              0.8856,             0.55578,            0.028685,           0.0054697,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,             0.03588,            0.013385,                   0,             0.83708,             0.82971,             0.88224,             0.57238,            0.027928,           0.0055553,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.034911,            0.013257,                   0,             0.81627,             0.82255,             0.88161,             0.56324,            0.027477,           0.0054454,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.034815,             0.01322,                   0,             0.86853,             0.81371,             0.88703,             0.58131,            0.027505,           0.0052911,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.034046,            0.012961,                   0,             0.85797,             0.86295,             0.90879,             0.59584,            0.026186,            0.005194,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,             0.03424,            0.012817,                   0,             0.87074,             0.86223,             0.91577,             0.60537,            0.026338,           0.0051583,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.034185,             0.01284,                   0,             0.88527,             0.83771,             0.91142,             0.60077,             0.02658,           0.0051913,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,            0.033741,            0.012719,                   0,             0.89322,             0.85081,             0.91489,             0.59262,            0.026567,           0.0051613,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.033287,            0.012687,                   0,              0.8613,             0.86857,             0.91348,             0.61421,            0.025402,           0.0050538,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,            0.033209,            0.012525,                   0,              0.8608,             0.84806,             0.90419,             0.61783,            0.026598,           0.0050733,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.032984,            0.012442,                   0,             0.87299,             0.81714,             0.89889,             0.61678,            0.025685,           0.0050587,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,            0.032371,            0.012609,                   0,             0.88978,             0.86057,             0.91585,             0.62838,            0.025015,           0.0048684,                   0,            0.007525,            0.007525,            0.007525
                  22,            0.032135,            0.012367,                   0,             0.90693,             0.83086,             0.91853,             0.62145,            0.024887,           0.0049266,                   0,           0.0074013,           0.0074013,           0.0074013
                  23,             0.03186,            0.012353,                   0,             0.88838,             0.87323,             0.92837,             0.63126,            0.024765,           0.0048788,                   0,           0.0072775,           0.0072775,           0.0072775
