               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080757,            0.028639,                   0,             0.45896,             0.69524,             0.50341,             0.27961,            0.053015,           0.0090306,                   0,            0.070123,           0.0033197,           0.0033197
                   1,            0.055095,            0.022329,                   0,             0.92399,             0.77181,             0.83029,              0.4348,            0.043087,           0.0071469,                   0,            0.039903,           0.0064335,           0.0064335
                   2,            0.049746,            0.020849,                   0,             0.96712,              0.8254,             0.86578,             0.47861,            0.040302,           0.0066924,                   0,           0.0094639,           0.0093272,           0.0093272
                   3,            0.045806,            0.020277,                   0,             0.92342,             0.80952,             0.85174,             0.54804,            0.037205,           0.0067725,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.042186,            0.019249,                   0,             0.98475,             0.83175,             0.87937,             0.59594,            0.033622,           0.0064705,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.040569,            0.018821,                   0,             0.96798,             0.86362,              0.8918,             0.64894,            0.030731,           0.0056045,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.039027,            0.017915,                   0,             0.98105,             0.86032,             0.89165,              0.6271,            0.030368,           0.0058809,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.037525,            0.017498,                   0,              0.9643,             0.85759,             0.88538,             0.60492,            0.032126,           0.0056528,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.036477,            0.017337,                   0,             0.99274,             0.86858,             0.90122,             0.68536,            0.028143,           0.0052306,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.035724,            0.017054,                   0,             0.95905,              0.8921,             0.91819,             0.70521,            0.027192,           0.0050602,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.035275,            0.016748,                   0,             0.98507,             0.86984,              0.9237,             0.70823,            0.026938,           0.0048732,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.034705,            0.016462,                   0,             0.95812,             0.87302,             0.91409,             0.69679,            0.026557,           0.0052115,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.033946,            0.016628,                   0,             0.98075,             0.88889,             0.92091,             0.71502,            0.024942,           0.0049253,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.033433,            0.016226,                   0,             0.99053,             0.88571,             0.92125,             0.72758,            0.025325,           0.0050167,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.033103,            0.016143,                   0,             0.99069,             0.87937,               0.919,             0.72854,            0.024373,           0.0048367,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.03243,             0.01573,                   0,             0.98179,             0.89206,             0.92592,             0.74629,            0.023367,           0.0046725,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.031716,            0.015328,                   0,             0.98927,             0.88254,             0.93427,             0.75657,            0.023422,           0.0043883,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.031426,            0.015386,                   0,             0.95798,             0.89841,             0.93825,             0.75268,            0.023524,           0.0044168,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.030788,            0.015354,                   0,             0.99066,             0.89206,             0.93489,              0.7486,             0.02318,           0.0044685,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.030616,             0.01504,                   0,             0.98271,             0.90244,             0.93675,              0.7562,            0.021726,           0.0045292,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.030311,            0.014628,                   0,             0.99288,             0.88889,             0.93235,             0.76941,            0.022754,           0.0044397,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.029583,            0.014632,                   0,             0.98935,             0.88472,             0.93323,              0.7712,            0.021601,           0.0044343,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.029477,            0.014616,                   0,             0.98833,             0.88571,             0.93521,             0.77266,             0.02151,           0.0043844,                   0,             0.00307,             0.00307,             0.00307
                  23,              0.0286,             0.01471,                   0,             0.98953,             0.90017,             0.94201,             0.77643,            0.021259,           0.0041474,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.028389,            0.014388,                   0,             0.97631,             0.91583,             0.94364,             0.78442,            0.020623,           0.0040738,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.028058,            0.014084,                   0,              0.9781,             0.90159,             0.93706,              0.7817,            0.020585,           0.0041641,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.027779,             0.01379,                   0,             0.97608,             0.90159,             0.93628,             0.78711,            0.019998,           0.0041068,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.027669,            0.014214,                   0,             0.96761,             0.90476,             0.93871,             0.78721,            0.019696,           0.0042086,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.026934,            0.013711,                   0,             0.98591,             0.90476,             0.93871,             0.79748,            0.019753,            0.004082,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.026786,            0.013753,                   0,             0.97906,             0.90794,             0.93945,             0.79842,            0.019473,           0.0040672,                   0,             0.00076,             0.00076,             0.00076
