               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092753,            0.024532,                   0,              0.3371,             0.51361,             0.29996,             0.13636,            0.056023,               0.009,                   0,            0.070136,           0.0033183,           0.0033183
                   1,            0.067214,            0.020128,                   0,             0.68398,             0.61472,             0.68095,             0.33258,            0.045446,           0.0066193,                   0,            0.039916,           0.0064321,           0.0064321
                   2,             0.06218,             0.01744,                   0,             0.85674,             0.71088,             0.80966,              0.3569,             0.04645,           0.0058399,                   0,           0.0094767,           0.0093259,           0.0093259
                   3,              0.0579,            0.016925,                   0,             0.93595,             0.86979,             0.90201,             0.48929,             0.03593,           0.0050156,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.053957,            0.016127,                   0,             0.93483,               0.805,             0.89421,             0.44135,            0.039624,           0.0051105,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.052674,            0.015333,                   0,             0.92861,             0.84524,             0.89061,             0.48866,            0.033726,           0.0049286,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.051351,            0.015243,                   0,             0.94725,             0.84694,             0.90514,             0.56283,            0.032707,           0.0047367,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.050319,            0.014957,                   0,             0.94665,             0.89116,              0.9252,             0.56126,            0.031574,            0.004589,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.049415,            0.014894,                   0,             0.96109,             0.87245,             0.92182,             0.58495,            0.030178,           0.0045992,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.048345,            0.014447,                   0,             0.95621,             0.89126,             0.93794,             0.59569,            0.028836,           0.0044093,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.047177,            0.014279,                   0,             0.95361,             0.90902,             0.93522,             0.62031,            0.028041,           0.0041625,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.046626,            0.014246,                   0,             0.96701,             0.90476,             0.93568,             0.60944,            0.027119,           0.0042439,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.045931,            0.013973,                   0,             0.97903,             0.91156,              0.9355,             0.61146,            0.027451,            0.004151,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.045055,            0.013985,                   0,             0.97686,             0.90646,              0.9522,             0.62988,            0.026445,           0.0041316,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.045141,            0.013531,                   0,             0.94829,             0.91156,             0.93986,             0.63193,            0.026849,           0.0040548,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.044534,            0.013615,                   0,             0.97832,             0.92073,             0.95026,               0.631,            0.026583,           0.0038732,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.043771,            0.013379,                   0,             0.97255,             0.91667,             0.94785,             0.64258,            0.025458,           0.0039911,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.043205,            0.013026,                   0,             0.98173,             0.91361,             0.94977,             0.64076,            0.025418,           0.0038904,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.041948,            0.013107,                   0,             0.98864,             0.92347,             0.95807,             0.64392,            0.025457,           0.0038235,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.041728,            0.012871,                   0,             0.97998,             0.92857,             0.95684,             0.65918,            0.024403,           0.0037427,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.041478,             0.01296,                   0,             0.99079,             0.91513,             0.95619,             0.67801,            0.024343,            0.003725,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.040591,            0.012715,                   0,             0.98005,             0.92177,             0.95752,             0.68958,             0.02416,            0.003632,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.040116,            0.012339,                   0,             0.98323,             0.92347,             0.95101,             0.67877,            0.023449,           0.0037334,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.039809,            0.012821,                   0,             0.97892,             0.92687,             0.94791,             0.68031,            0.023532,           0.0036278,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.039503,            0.012032,                   0,             0.97497,             0.92759,             0.95883,             0.68408,            0.023457,           0.0036604,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.038956,            0.012632,                   0,             0.98058,             0.91497,             0.95347,             0.69044,            0.022475,           0.0035877,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.038529,            0.012291,                   0,             0.98187,             0.92113,             0.95929,             0.70045,            0.022153,           0.0035542,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.03802,            0.012138,                   0,             0.97162,             0.93154,             0.95638,             0.69986,            0.022167,           0.0036082,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.037323,             0.01164,                   0,             0.97482,             0.93878,              0.9567,             0.69928,            0.021772,           0.0035806,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.037135,            0.011881,                   0,             0.97201,             0.94048,             0.96105,             0.71023,             0.02096,            0.003449,                   0,             0.00076,             0.00076,             0.00076
