               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09154,             0.03615,                   0,             0.46468,             0.49206,             0.42734,              0.1804,            0.058547,            0.012837,                   0,            0.070263,           0.0033041,           0.0033041
                   1,            0.062872,            0.029287,                   0,             0.57205,             0.68571,             0.58274,             0.18632,            0.059064,           0.0075623,                   0,            0.040044,           0.0064184,           0.0064184
                   2,            0.057424,            0.026254,                   0,             0.75966,             0.71241,             0.73652,             0.42786,            0.047658,           0.0074786,                   0,           0.0096051,           0.0093127,           0.0093127
                   3,            0.051846,            0.024753,                   0,             0.94724,              0.7873,              0.8521,             0.48031,             0.03891,           0.0068498,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.047505,            0.024596,                   0,             0.98898,             0.84127,             0.87981,             0.53683,             0.03387,           0.0062725,                   0,             0.00901,             0.00901,             0.00901
                   5,             0.04483,            0.023365,                   0,             0.97357,             0.81868,             0.88499,             0.59763,            0.032103,           0.0061714,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.042798,             0.02274,                   0,             0.98676,             0.87302,             0.90584,              0.6165,            0.030566,            0.005472,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.040744,            0.022763,                   0,             0.96731,             0.87937,             0.91645,             0.62639,            0.031233,           0.0052958,                   0,             0.00802,             0.00802,             0.00802
                   8,             0.04061,            0.021828,                   0,             0.98759,             0.87302,             0.90994,             0.67511,            0.028293,           0.0053428,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.039305,            0.021278,                   0,             0.98128,             0.87937,             0.91205,             0.67983,            0.028282,            0.005182,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.039221,            0.021197,                   0,             0.97873,             0.87663,              0.9117,             0.70405,            0.026633,           0.0051813,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.037695,            0.020495,                   0,             0.99171,             0.86349,             0.90736,             0.68965,            0.027502,           0.0051786,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.036971,            0.020827,                   0,             0.98111,             0.88254,             0.91031,             0.71823,            0.025673,           0.0048526,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.036893,            0.019886,                   0,             0.99229,             0.87937,             0.92977,             0.73048,            0.025279,            0.004353,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.036093,            0.019796,                   0,             0.98453,             0.87302,             0.92472,             0.70026,             0.02483,           0.0048121,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.035344,            0.020482,                   0,             0.98267,             0.90024,             0.93379,             0.74843,            0.023747,           0.0043564,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.034764,            0.020324,                   0,             0.98599,              0.8937,             0.93483,             0.73663,            0.023215,           0.0044702,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.034706,            0.019661,                   0,             0.99294,             0.89262,             0.94316,             0.75644,            0.022993,           0.0041733,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.033809,            0.019899,                   0,             0.97067,             0.89841,             0.93624,             0.74523,            0.022749,            0.004296,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.033556,             0.01927,                   0,              0.9806,             0.88571,             0.93504,             0.75674,            0.023269,           0.0043128,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.033317,            0.019051,                   0,             0.97391,             0.89841,             0.93752,             0.76467,            0.022363,           0.0040833,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.032427,            0.019529,                   0,             0.98753,             0.88254,             0.93379,             0.76285,            0.022936,           0.0043342,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.032772,            0.018723,                   0,             0.98581,             0.89524,             0.94152,             0.77939,            0.022169,            0.003974,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.032061,            0.018436,                   0,             0.97594,             0.90156,             0.94059,             0.76962,            0.022021,            0.004032,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.031855,            0.018433,                   0,             0.96434,             0.89524,             0.94216,              0.7813,            0.021618,           0.0040291,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.031473,            0.018427,                   0,             0.95107,             0.92562,             0.93974,             0.78704,             0.02188,           0.0039203,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.031089,            0.018393,                   0,             0.98596,             0.89178,             0.93974,             0.79868,            0.020749,           0.0038772,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.030862,            0.017705,                   0,             0.97609,             0.90794,             0.94031,             0.79939,            0.021214,           0.0037459,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03041,            0.017509,                   0,             0.99298,             0.89835,             0.93812,             0.80319,            0.020997,           0.0038737,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.030079,            0.017675,                   0,             0.99295,             0.89408,             0.94214,             0.80063,            0.020961,           0.0038765,                   0,             0.00076,             0.00076,             0.00076
